generation,member_0,member_1,member_2,member_3,member_4,member_5,member_6,member_7,member_8,member_9,best_so_far,elapsed_sec
0,0.796,0.7929,0.8002,0.7851,0.7897,0.7916,0.8101,0.8072,0.8062,0.8031,0.8101,16.8344464302063
1,0.8298,0.8332,0.833,0.8213,0.8139,0.819,0.8405,0.8292,0.8375,0.8384,0.8405,13.227410078048706
2,0.8499,0.8459,0.8427,0.8379,0.8426,0.8508,0.8542,0.8539,0.8497,0.8562,0.8562,13.295531988143921
3,0.8553,0.8537,0.8586,0.8525,0.854,0.8533,0.8588,0.8597,0.8589,0.8645,0.8645,13.32977032661438
4,0.8673,0.8681,0.866,0.859,0.8599,0.8676,0.8672,0.865,0.8638,0.8713,0.8713,13.216706275939941
5,0.8655,0.8756,0.8738,0.8658,0.8686,0.8721,0.87,0.8684,0.8746,0.8787,0.8787,13.458431720733643
6,0.8756,0.8775,0.879,0.8702,0.866,0.8718,0.877,0.8766,0.8745,0.8751,0.879,13.29299020767212
7,0.878,0.8819,0.8785,0.8748,0.8755,0.8769,0.8812,0.8801,0.8795,0.8838,0.8838,13.416251420974731
8,0.8808,0.8861,0.8819,0.8788,0.8792,0.8833,0.8768,0.8813,0.8826,0.8855,0.8861,13.480162858963013
9,0.88,0.8869,0.8806,0.8839,0.8814,0.8887,0.8886,0.8872,0.8853,0.891,0.891,13.081517934799194
10,0.8839,0.8867,0.8914,0.8843,0.8847,0.8932,0.8901,0.8869,0.8861,0.8927,0.8932,13.251141548156738
11,0.8914,0.8941,0.8886,0.8876,0.889,0.8908,0.8876,0.8913,0.8923,0.8948,0.8948,13.305135250091553
12,0.8962,0.8962,0.8954,0.8915,0.8907,0.8957,0.8931,0.8925,0.8875,0.8963,0.8963,13.452930927276611
13,0.8888,0.899,0.8914,0.8935,0.8899,0.8965,0.8974,0.8953,0.8937,0.9034,0.9034,13.396298885345459
14,0.8944,0.9013,0.8969,0.8967,0.8952,0.9015,0.9041,0.8975,0.8984,0.9018,0.9041,13.709402799606323
15,0.903,0.9023,0.9024,0.8986,0.8952,0.9031,0.9058,0.8998,0.8996,0.9058,0.9058,13.479349613189697
16,0.901,0.9042,0.8978,0.8991,0.893,0.9039,0.9065,0.9019,0.9014,0.9054,0.9065,13.457854747772217
17,0.9061,0.9052,0.9035,0.9014,0.8956,0.9058,0.9047,0.9032,0.9032,0.9089,0.9089,13.269791603088379
18,0.9054,0.9065,0.9059,0.9016,0.9026,0.9065,0.9076,0.9075,0.9054,0.9124,0.9124,13.12397837638855
19,0.9069,0.907,0.9081,0.9056,0.9034,0.9093,0.9086,0.907,0.9022,0.9122,0.9124,13.031755447387695
