generation,member_0,best_so_far,elapsed_sec
0,0.7904,0.7904,8.540619373321533
1,0.8282,0.8282,1.2647037506103516
2,0.8475,0.8475,1.2163183689117432
3,0.8544,0.8544,1.1952600479125977
4,0.8634,0.8634,1.1882128715515137
5,0.8654,0.8654,1.192460298538208
6,0.8717,0.8717,1.1840758323669434
7,0.8755,0.8755,1.2111263275146484
8,0.8785,0.8785,1.2159292697906494
9,0.8859,0.8859,1.1966230869293213
10,0.8859,0.8859,1.1893465518951416
11,0.8909,0.8909,1.2034895420074463
12,0.8867,0.8909,1.1898267269134521
13,0.8928,0.8928,1.2210562229156494
14,0.893,0.893,1.2206737995147705
15,0.901,0.901,1.2239360809326172
16,0.9008,0.901,1.1689739227294922
17,0.9052,0.9052,1.1910088062286377
18,0.9067,0.9067,1.1992549896240234
19,0.9088,0.9088,1.1839368343353271
