generation,member_0,member_1,member_2,member_3,member_4,member_5,member_6,member_7,member_8,member_9,best_so_far,elapsed_sec
0,0.8021,0.7972,0.7891,0.7898,0.7867,0.791,0.7804,0.79,0.7837,0.7816,0.8021,18.728280305862427
1,0.826,0.7892,0.6864,0.7858,0.8272,0.8061,0.7101,0.8142,0.7788,0.7972,0.8272,11.806675910949707
2,0.8266,0.7765,0.8079,0.6987,0.845,0.8365,0.7578,0.275,0.7746,0.7288,0.845,11.78360104560852
3,0.8048,0.8148,0.6359,0.7713,0.8587,0.7872,0.6305,0.8194,0.7796,0.816,0.8587,11.840493440628052
4,0.821,0.8104,0.8086,0.8372,0.8621,0.5385,0.7515,0.7948,0.7513,0.8334,0.8621,11.781538248062134
5,0.7512,0.7908,0.8343,0.8377,0.8644,0.6746,0.8441,0.1,0.8497,0.659,0.8644,11.781075954437256
6,0.8417,0.8116,0.8529,0.8326,0.8753,0.7623,0.8155,0.8516,0.8515,0.8468,0.8753,11.923072576522827
7,0.8593,0.8267,0.8078,0.7175,0.8803,0.8605,0.8315,0.8589,0.8342,0.869,0.8803,11.779130458831787
8,0.5226,0.8146,0.5098,0.6969,0.8822,0.864,0.8667,0.8071,0.833,0.8543,0.8822,11.835926532745361
9,0.6753,0.839,0.798,0.8331,0.8831,0.8328,0.8161,0.8491,0.8528,0.8559,0.8831,11.766094207763672
10,0.832,0.785,0.8339,0.8538,0.8861,0.676,0.8555,0.7959,0.8736,0.7866,0.8861,11.755297899246216
11,0.831,0.8047,0.7981,0.8078,0.8939,0.8787,0.8042,0.7738,0.8574,0.8467,0.8939,11.855915784835815
12,0.8835,0.8304,0.82,0.7675,0.896,0.7494,0.8758,0.8693,0.7963,0.8275,0.896,11.846023082733154
13,0.8226,0.7836,0.7458,0.8856,0.8928,0.7808,0.7863,0.848,0.8523,0.7816,0.896,11.842716932296753
14,0.8409,0.8498,0.7461,0.7014,0.8982,0.768,0.7379,0.8737,0.8075,0.8155,0.8982,11.848576545715332
15,0.7774,0.7227,0.7548,0.7618,0.8972,0.8546,0.81,0.8456,0.8212,0.7187,0.8982,11.915115356445312
16,0.8257,0.5176,0.8602,0.7578,0.9007,0.8418,0.8201,0.8169,0.7729,0.7662,0.9007,11.844778537750244
17,0.8471,0.7753,0.8213,0.8401,0.9045,0.8201,0.8349,0.8738,0.8621,0.9057,0.9057,11.828260898590088
18,0.8362,0.5074,0.5443,0.8359,0.8725,0.8416,0.8344,0.7821,0.8567,0.9032,0.9057,11.842216730117798
19,0.8464,0.8176,0.7236,0.7684,0.8461,0.6502,0.8652,0.7928,0.8665,0.9068,0.9068,11.859477519989014
20,0.8425,0.8674,0.8519,0.8056,0.8467,0.7602,0.8297,0.6314,0.8451,0.9076,0.9076,11.797971963882446
21,0.8188,0.7168,0.8316,0.8804,0.8553,0.7615,0.7995,0.8231,0.765,0.9094,0.9094,11.826836824417114
22,0.8938,0.8495,0.7965,0.7798,0.8522,0.7771,0.7841,0.7768,0.5424,0.9102,0.9102,11.857485294342041
23,0.9093,0.908,0.6655,0.7548,0.9055,0.7786,0.6559,0.8015,0.6776,0.9104,0.9104,11.823368072509766
24,0.7965,0.8193,0.833,0.9077,0.9016,0.7336,0.8642,0.8201,0.6904,0.9063,0.9104,11.816127300262451
25,0.7267,0.5667,0.7861,0.9066,0.859,0.9064,0.9096,0.6404,0.8418,0.7725,0.9104,11.893102645874023
26,0.7449,0.7085,0.7746,0.8378,0.6792,0.9054,0.9062,0.8252,0.8254,0.9092,0.9104,11.849460124969482
27,0.682,0.7448,0.7379,0.7985,0.7002,0.8262,0.725,0.5251,0.7442,0.9048,0.9104,11.812742948532104
28,0.7708,0.8264,0.694,0.5817,0.6297,0.5279,0.736,0.7502,0.8383,0.9082,0.9104,11.796766519546509
29,0.743,0.6037,0.6776,0.7879,0.7677,0.7069,0.6068,0.9079,0.7636,0.9096,0.9104,11.782145023345947
30,0.627,0.5185,0.7826,0.6932,0.4893,0.5782,0.9074,0.7627,0.8334,0.9143,0.9143,11.941275835037231
31,0.7273,0.5961,0.6494,0.5198,0.5186,0.8613,0.6442,0.7097,0.8635,0.9111,0.9143,11.811446905136108
32,0.8046,0.8845,0.7219,0.6381,0.8248,0.8642,0.7151,0.8028,0.2735,0.9149,0.9149,11.855430126190186
33,0.805,0.842,0.8376,0.6446,0.838,0.8786,0.6642,0.8368,0.8211,0.9121,0.9149,11.859253883361816
34,0.8588,0.8012,0.8822,0.4891,0.8505,0.8622,0.7961,0.5913,0.8806,0.9134,0.9149,11.860435962677002
35,0.8251,0.6245,0.908,0.8073,0.8117,0.853,0.8838,0.8376,0.6562,0.914,0.9149,11.810889482498169
36,0.9122,0.7678,0.6016,0.8383,0.8071,0.8378,0.8059,0.8471,0.8346,0.9155,0.9155,11.843766927719116
37,0.6992,0.8668,0.8124,0.7523,0.682,0.8425,0.803,0.8324,0.8294,0.9148,0.9155,11.811830997467041
38,0.7354,0.8388,0.8613,0.6615,0.8562,0.8079,0.6722,0.6828,0.8272,0.916,0.916,11.782497644424438
39,0.8286,0.7377,0.8113,0.8114,0.8283,0.1623,0.8279,0.8735,0.8753,0.9149,0.916,11.797684669494629
