dataset,method,best_acc,best_acc_pct,time_sec,history_csv
cifar10,adam,0.7462,74.62,112.4,runs\cifar10_adam\history.csv
cifar10,de,0.7483,74.83,980.1,runs\cifar10_de\history.csv
cifar10,ga,0.716,71.6,900.9,runs\cifar10_ga\history.csv
cifar10,mcts,0.7469,74.69,915.5,runs\cifar10_mcts\history.csv
fashion_mnist,adam,0.9245,92.45,55.8,runs\fashion_mnist_adam\history.csv
fashion_mnist,de,0.9264,92.64,526.3,runs\fashion_mnist_de\history.csv
fashion_mnist,ga,0.916,91.6,481.9,runs\fashion_mnist_ga\history.csv
fashion_mnist,mcts,0.9275,92.75,471.9,runs\fashion_mnist_mcts\history.csv
mnist,adam,0.9933,99.33,55.3,runs\mnist_adam\history.csv
mnist,de,0.9936,99.36,525.2,runs\mnist_de\history.csv
mnist,ga,0.9921,99.21,482.0,runs\mnist_ga\history.csv
mnist,mcts,0.9933,99.33,471.8,runs\mnist_mcts\history.csv
