generation,member_0,member_1,member_2,member_3,member_4,member_5,member_6,member_7,member_8,member_9,best_so_far,elapsed_sec
0,0.4567,0.4508,0.465,0.4612,0.4563,0.4631,0.4632,0.4507,0.4571,0.4731,0.4731,48.27307486534119
1,0.4634,0.1342,0.4856,0.4809,0.4985,0.2296,0.5078,0.4821,0.476,0.5275,0.5275,23.103320121765137
2,0.5247,0.4925,0.4081,0.3085,0.539,0.4678,0.2124,0.4703,0.4563,0.5535,0.5535,23.141010284423828
3,0.4464,0.5464,0.4341,0.576,0.4275,0.5496,0.4796,0.5721,0.4722,0.5729,0.576,22.772562980651855
4,0.4409,0.3924,0.4632,0.5894,0.587,0.2188,0.4462,0.5936,0.4865,0.4893,0.5936,22.624562978744507
5,0.1859,0.3787,0.5524,0.4478,0.27,0.4889,0.1022,0.5913,0.4608,0.5161,0.5936,22.62751007080078
6,0.533,0.4248,0.4953,0.4848,0.2647,0.4248,0.5222,0.6127,0.6079,0.5825,0.6127,23.412928342819214
7,0.5404,0.4479,0.5398,0.0997,0.468,0.5418,0.468,0.6239,0.6225,0.5394,0.6239,23.330626964569092
8,0.099,0.5398,0.1328,0.114,0.5152,0.5781,0.5001,0.6392,0.6401,0.4935,0.6401,23.383740186691284
9,0.5768,0.5174,0.5055,0.4335,0.4762,0.6078,0.6113,0.4642,0.6334,0.514,0.6401,23.066595554351807
10,0.5389,0.2744,0.508,0.6187,0.2259,0.5659,0.5609,0.5366,0.6524,0.2683,0.6524,22.52897620201111
11,0.4365,0.4261,0.5612,0.6117,0.6522,0.6461,0.3909,0.6147,0.6583,0.5915,0.6583,22.828458786010742
12,0.613,0.5959,0.6138,0.6132,0.405,0.6522,0.6646,0.3627,0.6631,0.2086,0.6646,23.3102023601532
13,0.4362,0.5949,0.3639,0.6207,0.6601,0.1605,0.6683,0.5816,0.4259,0.2578,0.6683,22.765830993652344
14,0.5061,0.5696,0.1806,0.5795,0.4093,0.2708,0.6746,0.5974,0.5898,0.4296,0.6746,23.171693086624146
15,0.6051,0.3091,0.2123,0.2817,0.5328,0.6046,0.6732,0.4005,0.1044,0.602,0.6746,23.385180234909058
16,0.6773,0.4661,0.6213,0.6366,0.4967,0.6318,0.672,0.5273,0.6381,0.2859,0.6773,22.7084903717041
17,0.6765,0.6855,0.6291,0.4003,0.4143,0.4569,0.6508,0.5611,0.6449,0.6489,0.6855,21.55795931816101
18,0.6195,0.6845,0.2115,0.1183,0.4937,0.6472,0.6726,0.6826,0.3556,0.5459,0.6855,21.23174786567688
19,0.6723,0.6857,0.6859,0.0997,0.3181,0.6721,0.6676,0.4207,0.6618,0.4004,0.6859,21.252458095550537
