generation,member_0,member_1,member_2,member_3,member_4,member_5,member_6,member_7,member_8,member_9,best_so_far,elapsed_sec
0,0.4781,0.4437,0.4718,0.4791,0.472,0.4798,0.4669,0.4709,0.462,0.4735,0.4798,36.71276092529297
1,0.5413,0.5081,0.516,0.5134,0.5113,0.5205,0.5104,0.4971,0.5126,0.5176,0.5413,23.673706769943237
2,0.5722,0.5464,0.5563,0.5357,0.55,0.5585,0.5458,0.558,0.5503,0.5579,0.5722,23.662948608398438
3,0.6037,0.5768,0.5767,0.5613,0.5742,0.5713,0.5747,0.5812,0.5873,0.5881,0.6037,24.094239711761475
4,0.6188,0.5953,0.6012,0.5883,0.597,0.6032,0.5954,0.5982,0.5998,0.614,0.6188,23.752781867980957
5,0.6339,0.6143,0.6175,0.6121,0.6156,0.6228,0.6287,0.6213,0.6334,0.6371,0.6371,23.662290573120117
6,0.6409,0.6328,0.628,0.6246,0.6237,0.6428,0.6336,0.6396,0.6304,0.646,0.646,23.598833084106445
7,0.646,0.6406,0.6432,0.648,0.6416,0.643,0.6493,0.6436,0.652,0.6512,0.652,23.738542556762695
8,0.659,0.651,0.6481,0.649,0.6514,0.6598,0.6608,0.6585,0.6651,0.6613,0.6651,23.67875647544861
9,0.6673,0.6561,0.6474,0.6636,0.6599,0.6548,0.6672,0.6626,0.6645,0.6533,0.6673,23.788121700286865
10,0.6771,0.6656,0.6642,0.6654,0.6631,0.6648,0.6696,0.6609,0.6752,0.6744,0.6771,23.75242519378662
11,0.6815,0.6667,0.676,0.6775,0.667,0.6773,0.6791,0.6678,0.6732,0.6757,0.6815,23.682884454727173
12,0.6817,0.6742,0.666,0.6747,0.6743,0.6806,0.6755,0.6837,0.6852,0.6803,0.6852,24.04699206352234
13,0.6951,0.6768,0.6836,0.6869,0.6813,0.6878,0.6869,0.6844,0.6926,0.6945,0.6951,23.836698293685913
14,0.6987,0.6801,0.6882,0.6849,0.6834,0.6843,0.6912,0.6862,0.6893,0.7004,0.7004,23.67830467224121
15,0.6956,0.6797,0.689,0.6891,0.6888,0.6917,0.697,0.6928,0.7025,0.6976,0.7025,23.944122791290283
16,0.7015,0.6896,0.6933,0.69,0.6958,0.701,0.6929,0.6916,0.7012,0.7019,0.7025,23.777307748794556
17,0.7014,0.6937,0.7013,0.703,0.6927,0.6913,0.7063,0.7028,0.7045,0.7016,0.7063,23.676077604293823
18,0.7095,0.6948,0.6956,0.694,0.6994,0.6988,0.6988,0.6948,0.712,0.7028,0.712,23.641270399093628
19,0.7099,0.6968,0.696,0.7044,0.7028,0.7002,0.7152,0.7104,0.7137,0.7031,0.7152,23.56986403465271
20,0.7062,0.7016,0.7089,0.7134,0.7075,0.7053,0.7107,0.7144,0.717,0.7081,0.717,23.579472303390503
21,0.713,0.7013,0.7069,0.7158,0.7155,0.7144,0.7132,0.7125,0.7216,0.7133,0.7216,23.61051607131958
22,0.716,0.701,0.7091,0.7118,0.7114,0.715,0.7142,0.7186,0.7196,0.7189,0.7216,23.749039888381958
23,0.7166,0.71,0.7183,0.7129,0.7148,0.712,0.7223,0.7121,0.7207,0.7209,0.7223,23.8673734664917
24,0.7139,0.7127,0.7171,0.7226,0.7221,0.7096,0.7236,0.7198,0.7236,0.7148,0.7236,23.66572403907776
25,0.7283,0.7154,0.7196,0.718,0.7241,0.7197,0.7273,0.7203,0.7264,0.7216,0.7283,23.582608699798584
26,0.7236,0.7181,0.7157,0.7251,0.7241,0.7205,0.7265,0.7248,0.729,0.7275,0.729,23.567511558532715
27,0.7277,0.7168,0.7206,0.727,0.7274,0.7189,0.7261,0.726,0.7265,0.7236,0.729,23.82473587989807
28,0.7215,0.7201,0.7229,0.7258,0.7295,0.7276,0.7231,0.7223,0.7264,0.726,0.7295,23.953856706619263
29,0.7274,0.7153,0.7222,0.7308,0.7265,0.7277,0.7298,0.7314,0.7331,0.7273,0.7331,23.833403825759888
30,0.7228,0.7172,0.7297,0.7291,0.7331,0.7348,0.7319,0.7325,0.7332,0.7352,0.7352,23.786417722702026
31,0.7296,0.7223,0.7222,0.7291,0.7347,0.7202,0.727,0.7303,0.7349,0.7342,0.7352,23.69253373146057
32,0.728,0.7254,0.7337,0.724,0.7271,0.7309,0.7325,0.7332,0.7318,0.7326,0.7352,23.770960330963135
33,0.7388,0.7336,0.7286,0.7342,0.7279,0.7311,0.7379,0.733,0.7409,0.733,0.7409,23.76383113861084
34,0.7376,0.7323,0.7338,0.7319,0.7341,0.7356,0.7376,0.7348,0.7347,0.7391,0.7409,23.650749921798706
35,0.7363,0.727,0.728,0.7295,0.7387,0.7354,0.7427,0.7306,0.7396,0.7382,0.7427,23.723854064941406
36,0.7405,0.7292,0.7349,0.7337,0.7331,0.7361,0.7395,0.7392,0.7359,0.7411,0.7427,23.664039611816406
37,0.7403,0.7294,0.7363,0.7403,0.7404,0.7308,0.7395,0.732,0.7411,0.7326,0.7427,23.834956169128418
38,0.7395,0.7324,0.7361,0.7344,0.7399,0.7387,0.7428,0.7397,0.748,0.7393,0.748,23.831233263015747
39,0.7405,0.7332,0.7352,0.7406,0.7403,0.7387,0.7392,0.7378,0.7483,0.7458,0.7483,23.878602266311646
