generation,member_0,member_1,member_2,member_3,member_4,member_5,member_6,member_7,member_8,member_9,best_so_far,elapsed_sec
0,0.8013,0.7844,0.7863,0.7962,0.7916,0.8006,0.7813,0.7868,0.7866,0.7932,0.8013,18.47245740890503
1,0.8221,0.8272,0.8166,0.8194,0.834,0.8234,0.8179,0.8324,0.8184,0.8145,0.834,11.544388055801392
2,0.8379,0.8392,0.8486,0.8448,0.8464,0.8462,0.8409,0.8436,0.8432,0.8313,0.8486,11.533583641052246
3,0.8496,0.8537,0.85,0.8604,0.8564,0.8557,0.8454,0.8528,0.8587,0.8463,0.8604,11.556311130523682
4,0.8613,0.851,0.8626,0.8629,0.8609,0.8667,0.8574,0.8573,0.8636,0.8578,0.8667,11.549920320510864
5,0.8661,0.8613,0.8652,0.8664,0.8656,0.8604,0.8647,0.8654,0.8712,0.8647,0.8712,11.545414209365845
6,0.8671,0.8691,0.8749,0.8747,0.8726,0.872,0.8692,0.8696,0.8695,0.8744,0.8749,12.050325393676758
7,0.8725,0.8768,0.8776,0.8774,0.8781,0.878,0.8716,0.8718,0.8802,0.8784,0.8802,22.2536563873291
8,0.8788,0.8768,0.8849,0.884,0.8811,0.885,0.8789,0.8773,0.8716,0.8808,0.885,22.61561679840088
9,0.8807,0.8788,0.8853,0.8841,0.8834,0.8851,0.8847,0.8781,0.8778,0.8849,0.8853,18.10598063468933
10,0.885,0.8786,0.8878,0.8863,0.8874,0.8923,0.8893,0.8902,0.8859,0.892,0.8923,11.54094648361206
11,0.8895,0.8879,0.8857,0.891,0.8924,0.8888,0.8868,0.8889,0.8887,0.8922,0.8924,11.567821741104126
12,0.8876,0.8892,0.8899,0.8931,0.8942,0.899,0.8928,0.893,0.8929,0.8956,0.899,11.59688401222229
13,0.89,0.8921,0.8928,0.8965,0.8937,0.897,0.8915,0.8921,0.8941,0.8963,0.899,11.602767705917358
14,0.8968,0.8978,0.8968,0.8893,0.9014,0.8946,0.8912,0.8949,0.8992,0.9012,0.9014,11.53635835647583
15,0.8979,0.8935,0.8975,0.8983,0.8973,0.9042,0.8977,0.8973,0.9009,0.8993,0.9042,11.570122480392456
16,0.8927,0.9012,0.8997,0.8989,0.9028,0.9049,0.9015,0.9019,0.9028,0.9067,0.9067,11.618003129959106
17,0.899,0.901,0.901,0.9025,0.906,0.9044,0.8977,0.8985,0.9032,0.9075,0.9075,11.55662751197815
18,0.9042,0.9029,0.9042,0.9051,0.907,0.9045,0.9062,0.9018,0.9056,0.9058,0.9075,18.296600818634033
19,0.9048,0.9066,0.9053,0.9064,0.9058,0.9089,0.9035,0.905,0.9069,0.9096,0.9096,22.110195636749268
