generation,member_0,best_so_far,elapsed_sec
0,0.456,0.456,39.28897786140442
1,0.5175,0.5175,5.139269828796387
2,0.5479,0.5479,5.103452682495117
3,0.5804,0.5804,5.103268623352051
4,0.6006,0.6006,5.1150007247924805
5,0.6135,0.6135,5.068022966384888
6,0.6373,0.6373,5.098603963851929
7,0.6467,0.6467,5.035705804824829
8,0.6434,0.6467,5.063358306884766
9,0.6651,0.6651,5.1126508712768555
10,0.6735,0.6735,5.164593458175659
11,0.6788,0.6788,5.127380609512329
12,0.6814,0.6814,5.051989793777466
13,0.6857,0.6857,4.997196912765503
14,0.6902,0.6902,5.050281047821045
15,0.6887,0.6902,4.994622230529785
16,0.6951,0.6951,5.156666040420532
17,0.7038,0.7038,5.172567844390869
18,0.704,0.704,5.120048522949219
19,0.7114,0.7114,5.078279256820679
