generation,member_0,member_1,member_2,member_3,member_4,member_5,member_6,member_7,member_8,member_9,best_so_far,elapsed_sec
0,0.4563,0.4559,0.4625,0.451,0.4682,0.4595,0.4596,0.4626,0.4611,0.4738,0.4738,46.79706406593323
1,0.5042,0.5069,0.5166,0.5054,0.5064,0.5037,0.5129,0.5225,0.5052,0.5269,0.5269,23.091601371765137
2,0.5447,0.528,0.5388,0.5359,0.5409,0.5483,0.5412,0.5642,0.5265,0.5516,0.5642,22.91611099243164
3,0.5619,0.561,0.5728,0.5643,0.5744,0.5792,0.5782,0.578,0.5675,0.5744,0.5792,23.83879327774048
4,0.5954,0.5949,0.5996,0.5824,0.5947,0.608,0.5947,0.6067,0.5848,0.6039,0.608,22.715272665023804
5,0.6249,0.6235,0.6205,0.6043,0.6195,0.6285,0.6163,0.609,0.6098,0.6157,0.6285,23.203537940979004
6,0.6291,0.6383,0.6312,0.6282,0.6379,0.6352,0.6349,0.6263,0.6251,0.6287,0.6383,23.091447353363037
7,0.6515,0.647,0.6469,0.6374,0.6414,0.6526,0.6433,0.6442,0.6394,0.6324,0.6526,22.841675519943237
8,0.6522,0.6529,0.6498,0.6482,0.6565,0.6488,0.6483,0.6427,0.6478,0.6446,0.6565,23.122368335723877
9,0.6582,0.6626,0.6701,0.652,0.663,0.6665,0.6638,0.6544,0.6561,0.6556,0.6701,22.44407558441162
10,0.6653,0.6714,0.664,0.669,0.6689,0.6738,0.6672,0.6672,0.6642,0.6642,0.6738,23.08982563018799
11,0.6795,0.6696,0.6702,0.674,0.6715,0.6783,0.6711,0.6745,0.6748,0.6648,0.6795,23.32905077934265
12,0.6785,0.6731,0.6803,0.688,0.6705,0.6777,0.6773,0.6813,0.6809,0.6733,0.688,22.740899324417114
13,0.6873,0.6815,0.6826,0.688,0.6809,0.6845,0.6803,0.6829,0.6835,0.677,0.688,23.20067310333252
14,0.6965,0.679,0.6892,0.6908,0.6842,0.6917,0.6862,0.6922,0.6946,0.6881,0.6965,23.151126623153687
15,0.6985,0.6915,0.6847,0.6967,0.6933,0.6979,0.6887,0.6849,0.6929,0.6849,0.6985,22.739224195480347
16,0.6998,0.6932,0.6964,0.7001,0.6955,0.697,0.6946,0.6858,0.6934,0.6929,0.7001,23.152894973754883
17,0.7041,0.6969,0.7037,0.7078,0.6999,0.7035,0.698,0.6935,0.6952,0.693,0.7078,23.04100203514099
18,0.7094,0.6942,0.7062,0.7051,0.6938,0.7099,0.7018,0.7004,0.7008,0.7001,0.7099,23.315305471420288
19,0.7092,0.7039,0.7002,0.6999,0.701,0.7086,0.7063,0.701,0.7077,0.7039,0.7099,23.39429020881653
